Impairment,Parameter value,Accuracy,Macro F1,Delta Macro F1,Support
frequency_offset,0.0,0.236,0.13641090361976657,0.00758915262098972,500
frequency_offset,100.0,0.226,0.12381790074097768,-0.005003850257799175,500
frequency_offset,500.0,0.228,0.12707215376125117,-0.0017495972375256852,500
frequency_offset,2000.0,0.17,0.10621208898874282,-0.022609662010034032,500
frequency_offset,10000.0,0.154,0.09750488447133629,-0.03131686652744056,500
phase_offset,0.0,0.23,0.13191412539693026,0.003092374398153408,500
phase_offset,0.39269908169872414,0.232,0.12940203235527273,0.0005802813564958764,500
phase_offset,0.7853981633974483,0.18,0.12679058781371957,-0.0020311631850572776,500
phase_offset,1.5707963267948966,0.236,0.14099745216024287,0.012175701161466018,500
phase_offset,3.141592653589793,0.246,0.1465765049058605,0.017754753907083642,500
iq_amplitude_imbalance,0.0,0.24,0.14509755054669843,0.016275799547921577,500
iq_amplitude_imbalance,0.05,0.236,0.14244021249792874,0.013618461499151885,500
iq_amplitude_imbalance,0.1,0.242,0.1441212586500863,0.01529950765130944,500
iq_amplitude_imbalance,0.2,0.232,0.13475916716095573,0.005937416162178882,500
iq_amplitude_imbalance,0.3,0.224,0.1367801747192013,0.007958423720424435,500
iq_phase_imbalance,0.0,0.236,0.1415214022417814,0.01269965124300454,500
iq_phase_imbalance,0.05,0.226,0.1283697953422724,-0.00045195565650443803,500
iq_phase_imbalance,0.1,0.218,0.12116471712300189,-0.00765703387577496,500
iq_phase_imbalance,0.2,0.24,0.146020586343167,0.01719883534439015,500
iq_phase_imbalance,0.3,0.22,0.1258382665765216,-0.0029834844222552392,500
dc_offset,0.0,0.248,0.1522836879432624,0.023461936944485562,500
dc_offset,0.05,0.206,0.08772206869324911,-0.04109968230552774,500
dc_offset,0.1,0.2,0.06711409395973154,-0.06170765703904531,500
dc_offset,0.2,0.2,0.06666666666666667,-0.062155084332110186,500
dc_offset,0.3,0.2,0.0667779632721202,-0.062043787726656655,500
timing_offset,0.0,0.23,0.13436195456801245,0.005540203569235597,500
timing_offset,0.1,0.246,0.14541676287231586,0.016595011873539012,500
timing_offset,0.2,0.236,0.13655487438394037,0.007733123385163521,500
timing_offset,0.3,0.236,0.1408117381560389,0.011989987157262044,500
timing_offset,0.4,0.252,0.15740684662106894,0.028585095622292084,500
timing_offset,0.5,0.242,0.14812643118587837,0.01930468018710152,500
