configuration,class_name,precision,recall,f1_score
Real Only,8PSK,0.4636640947425085,0.8613333333333333,0.6028228158171002
Real Only,BPSK,0.8675268817204301,0.6723333333333333,0.7575586854460093
Real Only,QAM16,0.7301495972382048,0.423,0.5356690586745462
Real Only,QAM64,0.6666666666666666,0.632,0.648870636550308
Real Only,QPSK,0.719047619047619,0.604,0.6565217391304348
Synthetic Only,8PSK,0.25316675342703454,0.48633333333333334,0.33299098482254935
Synthetic Only,BPSK,0.9374337221633086,0.2946666666666667,0.4483895511032209
Synthetic Only,QAM16,0.19542024460057247,0.25033333333333335,0.21949437381265527
Synthetic Only,QAM64,0.1190671031096563,0.097,0.10690668626010287
Synthetic Only,QPSK,0.452914798206278,0.303,0.36309167165967643
Mixed 10pct,8PSK,0.4158938279501119,0.867,0.5621352928463367
Mixed 10pct,BPSK,0.8552173913043478,0.6556666666666666,0.7422641509433963
Mixed 10pct,QAM16,0.42109038737446197,0.19566666666666666,0.26718252162039147
Mixed 10pct,QAM64,0.5422885572139303,0.5813333333333334,0.5611325611325612
Mixed 10pct,QPSK,0.880718954248366,0.539,0.6687344913151365
Mixed 25pct,8PSK,0.6229689807976366,0.5623333333333334,0.5911002102312544
Mixed 25pct,BPSK,0.7266998341625207,0.7303333333333333,0.7285120532003325
Mixed 25pct,QAM16,0.4256410256410256,0.30433333333333334,0.35490767735665696
Mixed 25pct,QAM64,0.5487433358720487,0.48033333333333333,0.5122644863135443
Mixed 25pct,QPSK,0.5117620949844651,0.7686666666666667,0.6144417799094058
Mixed 50pct,8PSK,0.3061266447368421,0.49633333333333335,0.3786876907426246
Mixed 50pct,BPSK,0.8002466091245376,0.21633333333333332,0.3405930202046707
Mixed 50pct,QAM16,0.17338709677419356,0.086,0.11497326203208556
Mixed 50pct,QAM64,0.3149451628744475,0.6413333333333333,0.42243934570205294
Mixed 50pct,QPSK,0.4820601851851852,0.2776666666666667,0.3523688663282572
Pretrain Finetune,8PSK,0.412820094601207,0.8436666666666667,0.5543752053444311
Pretrain Finetune,BPSK,0.7594410876132931,0.6703333333333333,0.7121104815864022
Pretrain Finetune,QAM16,0.7189728958630528,0.504,0.5925925925925926
Pretrain Finetune,QAM64,0.7547811304717382,0.592,0.663553147767607
Pretrain Finetune,QPSK,0.8957507082152975,0.527,0.6635886673662119
Mixed 10pct Original,8PSK,0.4465844116761962,0.49466666666666664,0.4693974379250356
Mixed 10pct Original,BPSK,0.48786860768943635,0.8713333333333333,0.6255084948552285
Mixed 10pct Original,QAM16,0.24357405140758873,0.06633333333333333,0.1042703694000524
Mixed 10pct Original,QAM64,0.45988900100908175,0.6076666666666667,0.5235496840896037
Mixed 10pct Original,QPSK,0.657997399219766,0.3373333333333333,0.44601145879241955
Mixed 10pct Calibrated,8PSK,0.5270334928229665,0.7343333333333333,0.6136490250696379
Mixed 10pct Calibrated,BPSK,0.6422496570644719,0.7803333333333333,0.7045899172310007
Mixed 10pct Calibrated,QAM16,0.40105414470531864,0.279,0.3290741104776882
Mixed 10pct Calibrated,QAM64,0.5429622199933133,0.5413333333333333,0.5421465531630779
Mixed 10pct Calibrated,QPSK,0.8054363376251789,0.563,0.6627427898763979
