configuration,snr,accuracy,macro_f1
Real Only,-20,0.20933333333333334,0.1279343275081944
Real Only,-18,0.21333333333333335,0.14155418363452796
Real Only,-16,0.204,0.1278449045224938
Real Only,-14,0.248,0.2002729984895831
Real Only,-12,0.3,0.26589331991973697
Real Only,-10,0.32666666666666666,0.2982177531528403
Real Only,-8,0.3893333333333333,0.37435336038836003
Real Only,-6,0.5106666666666667,0.4938547669230905
Real Only,-4,0.664,0.6518001370594555
Real Only,-2,0.7893333333333333,0.7888792803117848
Real Only,0,0.864,0.8632107417323145
Real Only,2,0.896,0.8953632785228753
Real Only,4,0.9,0.8984228077496146
Real Only,6,0.8986666666666666,0.8971312660495027
Real Only,8,0.9026666666666666,0.9006764557507981
Real Only,10,0.904,0.903013550903711
Real Only,12,0.8826666666666667,0.8808555837147546
Real Only,14,0.8866666666666667,0.8836147230240187
Real Only,16,0.896,0.8948165107630605
Real Only,18,0.8853333333333333,0.8829996590954007
Synthetic Only,-20,0.228,0.17415050532641355
Synthetic Only,-18,0.20266666666666666,0.12935169163030186
Synthetic Only,-16,0.16133333333333333,0.09195780979576137
Synthetic Only,-14,0.16,0.08832939942302649
Synthetic Only,-12,0.16666666666666666,0.08900941281936352
Synthetic Only,-10,0.17866666666666667,0.09388479388479389
Synthetic Only,-8,0.156,0.08254464780920688
Synthetic Only,-6,0.06266666666666666,0.03575667967682487
Synthetic Only,-4,0.04,0.049904371464205004
Synthetic Only,-2,0.25066666666666665,0.250853220656012
Synthetic Only,0,0.37066666666666664,0.318645650495604
Synthetic Only,2,0.4093333333333333,0.33814795190008295
Synthetic Only,4,0.4,0.3333096241202633
Synthetic Only,6,0.428,0.367102590400547
Synthetic Only,8,0.4026666666666667,0.3364971321846145
Synthetic Only,10,0.4106666666666667,0.3334199403569754
Synthetic Only,12,0.42,0.36379370526887833
Synthetic Only,14,0.4093333333333333,0.3457399960744249
Synthetic Only,16,0.42933333333333334,0.36380737582778444
Synthetic Only,18,0.43866666666666665,0.3769178698693859
Mixed 10pct,-20,0.10133333333333333,0.05577573229378696
Mixed 10pct,-18,0.12533333333333332,0.059860227797443356
Mixed 10pct,-16,0.208,0.10162349174200551
Mixed 10pct,-14,0.20133333333333334,0.10472361842921847
